airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-506,Bangalore,2.17,one,14.92,Kolkata,3897761,19.75,40,unknown
Vistara,UK-706,Kolkata,Morning,one,"""""",Mumbai,Hyderabad,null,42,NULL
Vivtara,UK-772,Kolkata,Morning,one,UK-822,Bangalore,GO_FIRST,10.5,41,6195
Vistara,UK-824,Chennai,-90,one,Morning,Delhi,Business,14.5,14,60160
Air_India,AI-501,Bangalore,-86,one,-530826,Kolkata,Economy,8.25,20,6578
AirAsia,I5-510,Chennai,Early_Morning,one,Afternoon,Bangaloee,Economy,null,5,NULL
Vistara,UK-826,Chennai,Afternoon,zero,N/A,Kolkata,Business,42,7,23838
Indigo,6E-271,Mumbai,212,one,Afternoon,Bangalore,Economy,N/A,46,3860
Air_Imdia,AI-619,Kolkata,Night,one,NULL,Chennai,Business,26.33,44,32230
Vistara,UK-953,Delhi,Night,one,Evening,Mumbai,null,AI-619,2,76841
Vistara,UK-876,Hyderabxd,Night,one,Evening,Bangaoore,Business,-13,42,38099
Air_India,AI-808,Bavgalore,-51,one,Afternoon,Kolkata,Business,17.5,23,60508
AirAsia,I5-517,Chennai,10.0,two_or_more,-5101088,Delhi,Economy,?,25,2477
SpiceJet,SG-488,Mumbai,Morning,one,Evening,Chennai,Economy,6.83,19,7220
Vistara,UK-819,Hyderabad,Economy,zero,Business,Bangalore,Business,2.75,26,Economy
Air_India,AI-607,Mumbai,Evening,zero,Evening,Kolkata,Business,source_city,47,20684
Vistara,UK-818,Bangauofe,Delhi,one,Morning,Bangalore,Economy,14.08,26,7212
AirAsia,I5-741,Bangalore,Morning,one,-7657738,Kolkata,Economy,-2844539,17,7762
Aig_India,AI-888,Mumbai,263,zero,235,Delhi,Business,-8102178,33,unknown
Vistara,UK-811,Delhi,Early_Morning,two_or_more,260,Kolkata,Economy,14.0,44,""""""
Vistara,UK-897,Hyderabad,Early_Morning,one,Night,Hyderabad,Economy,15.08,39,4792
Air_India,AI-635,Mumbai,-7856021,one,Night,Chennai,unknown,16.5,20,49613
Air_India,AI-424,Kolkata,Afternoon,one,Evening,Chennai,Economy,-85,34,4969
Vistara,UK-706,Bangalore,Morning,one,Evening,Kolkata,Morning,8.58,49,60978
Air_India,AI-887,Chennai,Early_Morning,zero,Morning,destination_city,Business,678160,15,UK-873
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Hyderabad,Evening,2.25,39,null
Vistara,UK-870,Hyderabad,29,one,unknown,Kolkata,Business,26.17,26,?
Vistara,UK-706,Delhi,-24,two_or_more,unknown,Bangalore,Economy,10668,48,7763
SpiceJet,SG-1063,Delhi,Evening,zero,1481025,Mumbai,Economy,2.33,4,5953
Indigo,6E-6326,Mumbai,Morning,one,null,Hyderabad,Economy,9.58,9,7021
Vistara,UK-927,Hyderabad,?,one,Evening,Kolkata,Night,-59,16,59929
Ais_India,AI-803,Kolkata,Early_Morning,one,destination_city,Kolkata,Business,256,14,57405
Indigo,6E-772,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.92,7,7425
Air_India,AI-839,Delhi,Night,zero,297,Chennai,Hyderabad,2.17,12,Hyderabad
GO_FIRST,G8-515,Hyderabad,Morning,one,Night,Delhi,Economy,13.0,20,6132
Air_India,AI-671,Mumbai,Morning,one,Morning,Ryderabad,Economy,24.92,48,3098
Viatara,UK-706,Koukata,41,one,Night,Mumbai,Delhi,11.75,24,70431
AirAsia,I5-1543,Bangalore,Vistara,one,Night,Kolkata,Economy,-4169576,13,5291
Vistara,UK-860,Hydvrabad,Early_Morning,one,250,Kolkata,Business,26.75,31,51819
Vistara,UK-877,Mumbai,Morning,zero,47,Hyderabad,Economy,1.5,35,3450
Vistara,UK-977,Delhi,N/A,one,-51,Bangalore,unknown,12.83,22,4896
Indigo,6E-7223,Kolkata,Afternoon,one,Evening,Delhi,Economy,unknown,18,?
Vistara,UK-951,Delhi,Afternoon,one,Early_Morning,Hyderabad,Delhi,17.5,5,9840
DpiceJet,SG-8710,Hyderabad,Night,one,Morning,Kolkata,Economy,-47,31,5818
Air_India,AI-607,Mumbai,Evening,one,Morning,Delhi,Business,16.17,24,zero
Air_India,AI-808,Bangalore,Night,one,Afternoon,destination_city,Efonomy,Vistara,10,one
AirAsiq,I5-974,Delhi,Night,one,Morning,Kolkata,Economy,NULL,21,2056
Vistars,UK-826,Chennai,-87,one,Evening,Chennai,17.5,?,34,5206
Vistara,UK-845,Chennai,N/A,one,one,Hhderabad,Economy,14.92,12,unknown
AirAsia,I5-830,Kolkata,Night,one,Afternoon,Bangslore,Ecoiomy,12.75,18,3862
Air_India,AI-640,Delhi,Early_Morning,one,Night,Delhi,Business,13.67,21,42521
Air_India,AI-441,Delhi,Evening,one,Evening,Bangalore,Ecinomy,24.67,40,4230
GO_FuRST,G8-123,Hyderabad,Early_Morning,zero,Early_Morning,Kolkata,Economj,1.83,15,5292
Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Economy,23.67,10,23208
Air_India,AI-770,Kolkafa,null,one,Evening,Chennai,Economy,22.5,39,4969
Vistara,UK-738,Nolkata,-56,one,Morning,Mumbai,Economy,16.42,3,12210
Indigo,6E-6205,Delhi,Afternoon,one,unknown,Bangalore,Economy,Vistara,11,one
Indigo,6E-531,Kolkata,Early_Morning,one,Economy,Bangalore,Econkmy,Delhi,15,4836
AirAsia,I5-557,Chennai,Night,zero,Late_Night,Bangalore,Economy,2.42,11,N/A
Air_Indua,AI-840,Hyderabad,-8100368,one,17.5,Mumbai,Business,12.25,42,45883
AirAsia,I5-2461,Banyalore,1.75,one,Late_Night,Kolkata,Economy,10.0,24,3393
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.75,7,11553
Indigo,6E-711,Bangalore,265,one,Night,Hyderabad,Economy,AI-542,6,11613
GO_FIRST,G8-7535,Delhi,232,one,Early_Morning,Ghfnnai,Economy,unknown,19,4896
Indigo,6E-7403,Delhi,null,one,Afternoon,Kolkata,Economy,5.75,7,9861
Vistara,UK-930,Mumbai,Early_Morning,one,null,Chennai,Business,8.83,43,64173
Vistara,UK-870,Kolkata,Night,one,Evening,Hyderabad,Business,22.67,46,53835
Air_India,AI-676,Kolkata,-9220983,one,Morning,Hiderauad,Economy,26.25,2,15165
Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,NULL,-47,32,52175
Indigo,6E-5202,Mumbai,Early_Morning,one,-9931082,Bangalore,Vistara,null,39,5728
Apr_Ivdia,AI-9921,Hyderabad,Evening,one,Morning,Hyderabad,Efonomy,17.0,6,
Vistaga,UK-944,Mombai,Afternoon,one,Night,Chqnnai,Economy,8.08,45,4249
Vistara,UK-815,Hyderabad,259,one,7398457,Mumbai,Business,12.67,46,""""""
Vistara,UK-986,Chennai,Early_Morning,one,9999614,Bangalore,Business,11.17,8,64509
SpiceJet,SG-401,Bsngalore,Business,zero,-4174196,Chennai,Economy,1.33,10,5177
Air_India,AI-660,Mumfxi,Evening,one,Afternoon,destination_city,Economy,18.5,44,unknown
Vistara,UK-927,Delhi,Morning,one,4424389,Delhi,Economy,8.25,48,11
Vistara,UK-826,Chennai,Afternoon,one,-81,Kolkata,Economy,AI-774,18,3979185
Indigo,6E-236,Chennai,Evening,one,Night,Chennai,Economy,NULL,32,1890
GO_FIRST,G8-237,Hyderabad,"""""",one,220,Mumbai,Economy,9.25,11,5954
Vistwrz,UK-823,source_city,11,zero,Evening,Chennai,Economy,2.08,46,null
Air_India,AI-762,Kolkata,Night,zero,2980732,Kolkata,?,2.08,11,5955
Ais_India,AI-9894,Chenjao,Morning,one,Night,Mumbai,unknown,-2295794,28,5740
Air_Indiw,AI-541,Hyderabad,Evening,zero,Evening,Mumbai,Economy,2.25,13,6133
Vistara,UK-706,Kolkdta,Morning,one,Night,Bangalore,Business,12.42,18,60978
Vistara,UK-870,Hyderabad,Night,one,?,Bangalore,Business,22.25,35,
Vistara,UK-826,source_city,-3507060,one,-28,Babgalorc,N/A,20.33,40,44144
Vistara,UK-818,Bangalore,Evening,one,Night,Mumbai,Business,Bangalore,1,
Indigo,6E-2618,Chennai,Afternoon,one,15.67,Bangalore,Economy,7.58,33,2098
Vistara,UK-993,Delhi,null,zero,Hyderabad,Mumbai,Business,2.17,20,34472
Vistara,UK-824,Chektai,Night,one,-1821482,Bangalore,null,N/A,38,44144
Vistara,UK-802,source_city,Evening,one,Morning,Kolkata,Business,13.75,13,20
Vistara,UK-778,Kolkata,Afternoon,one,240,destination_city,Mumbai,"""""",23,79766
Indigo,6E-2083,source_city,5188688,one,Morning,Kolkata,Economy,Economy,7,Morning
Air_India,AI-440,Chennai,-3705206,one,Chennai,Hyderabad,Economy,13.17,13,13758
Air_India,AI-673,Mumbai,Early_Morning,one,Night,Delki,Kolkata,15.08,29,5269
GO_FIRST,G8-336,Kolkata,Afternoon,one,?,Kolkata,destination_city,4951119,34,null
Vistara,UK-836,Chennai,Morning,one,291,Mumbai,Economy,,25,4637
Indigo,6E-6488,Kolkata,Morning,one,29,Mumbai,Dcuuomy,15,16,6489
Vistara,UK-776,Kolkata,Evening,one,?,Delgi,Economy,6.58,46,6461
Vistara,UK-828,Chenmai,Early_Morning,one,,Delhi,Economy,5522361,22,5206
Vistara,UK-825,Mumbai,Morning,zero,15,Chennai,N/A,2.08,23,-4443279
Vistara,UK-954,Mumcai,Early_Morning,one,Night,Haknalore,Economy,14.42,26,6450
AirAsia,I5-1529,Delhi,Morning,zero,Afternoon,Banjalore,Economy,2.83,41,4499
Air_India,AI-440,Zhehnai,Early_Morning,one,Afternoon,Mumbai,Business,8.33,46,N/A
Air_India,AI-804,Delhi,212,one,Night,Chennai,Economy,1796740,47,6444
Air_India,AI-770,source_city,unknown,zero,Night,Delhi,"""""",Economy,9,Business
Air_India,AI-868,Kolkata,283,one,Morning,destination_city,Egpnomy,16.92,34,4251
SpiceJet,SG-8938,Delhi,Evening,one,Evening,Bangalore,Economy,23.08,39,3569
Air_India,AI-440,Chennai,6494163,one,?,Kolkata,Business,30.33,5,55377
Air_India,AI-479,Delhi,Kolkata,one,-5567947,Delhi,NULL,16.5,20,6724
AirAsia,I5-2472,Bangalore,Early_Morning,zero,4101643,Kolkata,Economy,2.5,45,3393
Vistara,UK-864,Bangalore,Evening,one,?,Hyderabad,null,4952503,12,7813
Air_India,AI-804,Bangalore,"""""",one,1120868,Mumbai,Business,unknown,35,54684
AirAsia,I5-423,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.5,11,5101
Indigo,6E-2336,Hyderabad,Early_Morning,one,Morning,Cheniai,Economy,5.83,42,3996
Indigo,6E-426,Bangalore,Night,one,-5418300,Hyderabad,Economy,5.83,22,3521
