Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Geoffrey ""Geoff"" Smith",M,26.0,173.0,61.0,United Kingdom,1980,Summer,Moskva,Russian Federation
Matthew Quinn,M,24.0,179.0,82.0,South Africa,2000,Summer,Sydney,Australia
Nayden Stanchev,M,23.0,172.0,70.0,Bulgaria,1972,Summer,Munich,Germany
Kunio Yonehara,M,27.0,170.0,67.0,Japan,1968,Summer,Mexico City,Mexico
Raimo Olavi Summanen,M,29.0,181.0,84.0,Finland,1992,Winter,Albertville,France
"James Patrick ""Jim"" Culhane, Jr.",M,30.0,170.0,64.0,United States,1972,Summer,Munich,Germany
Peter Akatsa,M,28.0,163.0,72.0,Kenya,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Mathias Raymond,M,22.0,190.0,85.0,Monaco,2008,Summer,Beijing,China
Tetiana Heorhivna Sorochynska-Bilenko,F,24.0,178.0,67.0,Ukraine,2008,Summer,Beijing,China
Mark Gornall,M,26.0,177.0,72.0,United Kingdom,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Kim Jun-Ho,M,18.0,178.9256506,76.65391791,"Korea, Rep.",2014,Winter,Sochi,Russian Federation
Han Myeong-U,M,27.0,170.0,84.0,"Korea, Rep.",1984,Summer,Los Angeles,United States
Khaled Abdel Rahman,M,27.0,188.0,79.0,"Egypt, Arab Rep.",1984,Summer,Los Angeles,United States
Anton Sashov Ivanov,M,25.0,177.0,69.0,Bulgaria,1996,Summer,Atlanta,United States
Andr Paul Joseph Verhalle,M,36.0,173.0,72.0,Belgium,1960,Summer,Roma,Italy
Yang Yanqin,F,17.0,168.0,110.0,China,1984,Summer,Los Angeles,United States
Marat Atayevich Niyazov,M,26.0,176.0,73.0,Russian Federation,1960,Summer,Roma,Italy
Viktor Knoch,M,24.0,180.0,80.0,Hungary,2014,Winter,Sochi,Russian Federation
Ren Badell Pollar,M,24.0,175.0,76.0,Cuba,1972,Summer,Munich,Germany
Rossana Juncos,F,18.0,154.0,55.0,Argentina,1976,Summer,Montreal,Canada
Brbara Hechavarra Aponte,F,25.0,173.0,92.0,Cuba,1992,Summer,Barcelona,Spain
Mirella Silva Prado Arnhold,F,18.0,159.0,51.0,Brazil,2002,Winter,Salt Lake City,United States
James John W. Fair,M,31.0,185.0,79.0,United Kingdom,2012,Summer,London,United Kingdom
Ute Thimm (Finger-),F,26.0,167.0,54.0,Germany,1984,Summer,Los Angeles,United States
Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,1984,Summer,Los Angeles,United States
John Williams,M,39.0,177.0,68.0,United States,2004,Summer,Athina,Greece
Morgan Pridy,M,23.0,173.0,78.0,Canada,2014,Winter,Sochi,Russian Federation
Francesca Francolini,F,20.0,171.0,60.0,Italy,2000,Summer,Sydney,Australia
Segun Moses Toriola,M,33.0,182.0,70.0,Nigeria,2008,Summer,Beijing,China
Yevgeny Dmitriyevich Mishakov,M,26.0,190.0,90.0,Russian Federation,1968,Winter,Grenoble,France
Atanas Slavchev Komshev,M,28.0,178.0,100.0,Bulgaria,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Alexandre Felske Tadayuke Yokochi,M,27.0,180.0,76.0,Portugal,1992,Summer,Barcelona,Spain
Hans-Dieter Schulten,M,31.0,178.0,72.0,Germany,1972,Summer,Munich,Germany
Aleksandr Aleksandrovich Smyshlyayev,M,26.0,170.0,74.0,Russian Federation,2014,Winter,Sochi,Russian Federation
Andreas Widhlzl,M,25.0,180.0,64.0,Austria,2002,Winter,Salt Lake City,United States
Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,2002,Winter,Salt Lake City,United States
