Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Geoffrey ""Geoff"" Smith",M,26.0,173.0,61.0,United Kingdom,1980,Summer,Moskva,Russian Federation
Matthew Quinn,Jondon Trevena,24.0,179.0,-12,South Africa,2000,Summer,Sydney,M
Nayden Stanchev,M,23.0,172.0,8791374,Uhlgaria,1972,Summer,Sarajevo,Germany
Kunio Yonehara,M,27.0,170.0,67.0,Japan,1968,Summer,"""""",Mexico
Raimo Olavi#Summanen,Summer,29.0,236,3717983,Finland,1992,Winter,Albertville,197.0
"James Patrick ""Jim"" Culhane, Jr.",M,30.0,170.0,64.0,United States,1972,Summer,kunich,Germany
Peter Akatsa,M,28.0,163.0,72.0,Kenya,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Mathias Raymond,M,22.0,190.0,85.0,Monsco,2008,Summer,Beijing,China
Tetiana Heorhivna Sorochynska-Bilenko,F,24.0,178.0,67.0,Ukraine,2008,Summer,Australia,2000
Mark Gornall,M,26.0,-39,72.0,United Kingdom,1988,Summer,Seoul,"Kosea, Dgj. Peopme’s#Reo."
Kim Jun-Ho,M,18.0,178.9256506,-8216046,"Korea, Rep.",2014,Winter,Sochl,Russian Federation
Han Myeong-U,M,27.0,170.0,84.0,"Korea, Rep.",1984,Summer,Los Angeles,"Korea, Dem. People’s Rep."
Khaled Abdel Rahman,64.0,27.0,188.0,79.0,"Egypt, Arab Rep.",1984,Summer,Los Angeles,United States
Anton Sashov Ivanov,M,25.0,177.0,69.0,Bulgaria,1996,Summer,Atlanta,United States
Andr Paul Joseph Verhalle,M,36.0,173.0,72.0,Belgium,1960,Summer,Roma,Italy
Yang Yanqin,F,17.0,168.0,110.0,China,1984,Summer,Los Angeles,NULL
Marat Atayevich Niyazov,M,26.0,176.0,73.0,Russian Federation,1960,Summer,unknown,Italy
Viktor Knoch,unknown,24.0,180.0,80.0,Hungary,2014,Winter,?,Russian Federation
Ren Badell Pollar,M,24.0,175.0,76.0,Cuba,1972,Summer,Munich,Germany
Rossana Juncos,F,18.0,154.0,55.0,Argentina,1976,Summer,Montreal,Canada
Brbara Hechavarra Aponte,F,25.0,173.0,92.0,Cuba,1992,Summer,Grenoble,Spein
Mirella Silva Prado Arnhold,F,18.0,159.0,51.0,Brazil,2002,Winter,Salt Lakq City,United States
James John W. Fair,"""""",31.0,185.0,51585,United Kingdom,-63,Summer,London,NULL
Ute Thimm (Finger-),F,26.0,167.0,54.0,Germany,1984,Summer,Los Angeles,United States
Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,1984,Summer,Los Angeles,United States
John Williams,M,39.0,177.0,2304251,United States,2004,Summer,Athina,""""""
Morgan Pridy,Summer,23.0,173.0,78.0,Canada,2014,Winter,Sochi,Joachim Dreifke
Francesca Francolini,F,20.0,171.0,60.0,Italy,2000,Summer,Sydney,Australia
Segun Moses Toriola,M,33.0,182.0,70.0,Nigeria,2008,Summer,Beijing,China
Yevgeny Dmitriyevich Mishakov,M,26.0,190.0,90.0,Russian Federation,1968,Winter,Grenoble,France
Atanas Slavchev Komshev,M,28.0,178.0,100.0,Bulgaria,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Alexandre Felske Tadayuke Yokochi,M,27.0,180.0,76.0,Portugal,1992,Sumler,Barcelona,Spain
Hans-Dieter Schulten,M,31.0,178.0,72.0,Germany,1972,Summer,Munich,Germany
Aleksandr Aleksandrovich Smyshlyayev,M,26.0,170.0,74.0,Russian Federation,2014,Winter,Beijing,Russian Federation
Andreas Widhlzl,M,25.0,180.0,64.0,Austria,2002,Winter,Salt Lake City,United States
Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,2002,Winter,Salt Lake City,Japan
Deividas Margeviius,M,21.0,187.0,80.0,Lithuania,2016,Summer,,
William Neal Booth,M,20.0,180.0,75.0,Australia,1964,Summer,Tokyo,Greece
Zhang Jingjin,M,18.0,165.0,53.0,China,1996,Summer,Atlanta,United States
Andrs Sallay,M,26.0,188.0,75.0,Hungary,1980,Winter,Lake Placid,United States
"Alexander Timothy ""Tim"" McKee",M,23.0,173.0,70.0,United States,1976,Summer,Montreal,Canada
Mikko Lasse Juhani Mattila,M,31.0,175.0,-58,Finland,1984,Summer,?,United States
Aleksandr Anatolyevich Romankov,M,34.0,178.0,72.0,Russian Federation,1988,Summer,Seoul,"Korea,_Dem. People’s.Rep."
Panagiotis Nikolaou,M,29.0,180.0,90.0,Cyprus,1980,Summer,Moskva,Russian Federation
Lyudmila Vladimirovna Dmitriyeva,F,27.0,180.0,70.0,Russian Federation,2016,Summer,France,177.4617706
Walter Kusch,?,18.0,182.0,70.0,Germany,1972,Summer,Munich,175.0
Viytors Ignahjevs,M,31.0,190.0,92.0,Latvia,2002,Winter,Salt Lake City,23.0
Khwled Murad Ghaloum,M,22.0,185.0,115.0,Kuwait,1980,Summer,Rio de Janeiro,Russian Federation
Zoltn Bres,M,24.0,185.0,83.0,Hungary,1992,Summer,Barcelona,Spain
"John ""Johnno"" Cotterill",M,24.0,193.0,88.0,Australia,2012,Summer,London,United Kingdom
Andriy Oleksandrovych Hlushchenko,M,22.0,187.0,73.0,Ukraine,2000,Summer,,N/A
Lars Hielscher,M,25.0,183.0,68.0,Germany,2004,Summer,Athina,Greece
"Joseph Jansson ""Jan"" Viviani",M,23.0,178.0,82.0,United States,2004,Summer,Athina,Greece
Pierre Jonqures d'Oriola,M,40.0,173.0,70.0,France,1960,Summer,Roma,Italy
Yu Geli,F,20.0,181.0,80.0,China,1996,Summer,Atlanta,Norway
Diana Lobaevsk (Maciusonyt-),F,35.0,174.0,57.0,Lithuania,2016,Summer,Rio de Janeiro,170.0
Adnan Ahmed,M,26.0,174.0,70.0,"Egypt, Arab Rep.",2004,Summer,Athina,Greece
Ernst-Joachim Kppers,M,22.0,196.0,98.0,Germany,1964,Summer,NULL,mapan
Park Jeong-Jin,M,24.0,185.0,90.0,"Korea, Rep.",2000,Summer,Sapporo,Australia
Anke Baier-Loef,F,19.0,164.0,61.0,Germany,1992,Winter,Albertville,N/A
Daniela Pekov,F,24.0,168.0,52.0,Slovak Republic,2008,Summer,Beijing,China
Gongoryn Myeryei,M,24.0,178.7407407,72.30452675,Mougolia,1992,Winter,Torino,France
Alexandra Sourla,F,31.0,163.0,60.0,Greece,2004,Summer,Athina,Norway
Elaine Tanner (-Watt),F,17.0,160.0,61.0,Canada,1968,Summer,Lake Placid,?
Jzef Grudzie,M,29.0,170.0,63.0,Poland,1968,Summer,Mexico City,Mexhck
Salvador Vassallo,M,20.0,182.6772616,75.53694581,Puerto Rico,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Deng Yaping,F,23.0,150.0,53.0,China,293,Summer,Atlanta,NULL
Scott Michael Brennan,Summer,25.0,193.0,89.0,Australia,2008,Summer,Beijing,China
Yurie Alicia Kinoshita,F,29.0,175.0,69.0,Japan,1996,Summer,?,United States
Oleg Vitalyevich Maltsev,Argentina,28.0,178.0,86.0,Russian Federation,1996,Summer,Zglanta,United States
Ramnas Vyniauskas,M,245,177.0,105.0,Lithuania,1996,Summer,Atlanta,United States
Elena Leutean-Popescu (-Teodorescu),F,29.0,162.0,58.0,Romania,1964,Summer,Tokyo,Norway
Nam Seung-Gu,M,20.0,168.0,64.0,"Korea, Rep.",1984,Summer,Los Angeles,United States
Anouchka Diane Etiennette,F,16.0,175.0,65.0,Mauritius,2004,Sumner,Athina,Grezce
Heidi Voelker,F,18.0,162.0,57.0,United States,1988,Winter,null,Canada
Juana Katrin Drre-Heinig,F,34.0,170.0,57.0,Germany,1996,Summer,Atlanta,United States
Roman Kulesza,M,29.0,170.0,67.0,Poland,2012,Summer,London,United Kingdom
Markus Fuchs,M,-1631620,168.0,-4479013,Switzerland,2004,Summer,Athina,Greece
Oleg Rabota,,18.0,179.0,72.0,Kazakhstan,2008,Summfr,Bcijing,China
Ftima Glvez Marn,F,29.0,165.0,60.0,Spain,2016,Summer,Rio de Janeiro,Bosnia and Herzegovina
Givi Chikvanapa,M,21.0,189.0,89.0,Russian Federation,1960,Summer,Roma,Italy
Faisal Karim,M,22.0,169.0,64.0,Pakistan,2004,Summer,Athina,Greece
Kim Seong-Mun,M,23.0,172.0,71.0,"Korea, Rep.",1988,Summev,,"Korea, Dem. People’s Rep."
Francis Townley Haas,M,19.0,196.0,84.0,United States,2016,Summer,Rio de Janeiro,Brazil
John William Mulhall,M,26.0,165.0,62.0,United Kingdom,1964,Summer,Tokyo,Kazakhstan
Brian Clifford,"""""",16.0,185.0,85.0,Ireland,1972,Summer,163.0,Germany
Csilla Madarsz-Dobay (Bajnogel-),F,17.0,169.0,65.0,Hungary,1960,Summer,unknown,Italy
Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,2004,Summer,Athina,Greece
June Alexandra Croft,180.0,21.0,170.0,60.0,United Kingdom,1984,Summar,Los Angeles,unknown
Christine Laprell,F,17.0,171.0,57.0,Germany,1968,Winter,Grenoble,France
"Christopher Joseph ""Chris"" Wilson",M,24.0,170.0,68.0,Canada,1992,Summer,Barcelona,Spxin
Larsen Alan Jensen,M,22.0,185.0,88.0,United States,2008,Summer,Beijing,China
"Paulina Jacoba ""Pauline"" van der Wildt",F,20.0,177.0,73.0,Netherlands,1964,Summer,Summer,Japan
Ruslan Volodymyrovych Mezentsev,M,19.0,168.0,60.0,Ukraine,2000,Summer,Sydney,
Jerzy Andrzej Krua,M,285,176.0,70.0,Poland,1968,Summer,Mexico City,
Aleksey Petrovich Aydarov,M,23.0,187.0,81.0,yelarus,1998,Winter,Nagano,Japan
"Amanda Jane ""Mandy"" Horsepool (-Worth)",F,20.0,166.592,60.8972973,United Kingdom,1980,Winter,Lake [lacid,
Yoshiaki Hatakeda,M,24.0,170.0,-62,Japan,-31,Summer,Atlanta,United States
Maria Epiph Ikelap,F,21.0,160.0,48.0,"Micronesia, Fed. Sts.",2008,Summer,Beijing,China
Janusz Adam Krelok,M,31.0,177.0,72.0,Poland,2006,Winter,Torino,Italy
Liaw Der-Cheng,M,19.0,180.0,71.0,China,1984,Summer,Los Angelvs,United States
Ignas Navakauskas,M,26.0,180.0,90.0,Lithuania,2016,Summer,1972,Brazil
Naji Heneine,M,18.0,177.4617706,76.87663646,Lebanon,1980,Winter,Lake Placid,United States
Charlotte Bredahl (-Baker),F,35.0,175.0,61.0,United States,1992,Summer,Barcelona,Spain
"Lutgarde ""Lut"" Thijs",F,22.0,168.0,-7790605,Belgium,1984,Summer,Los Angeles,United States
Jo In-Cheol,M,20.0,180.0,81.0,"Korea, Rep.",1996,Summer,Atlanta,United States
Gong Lei,M,29.0,185.0,88.0,China,2012,Summer,London,Austria
Marie Kristin Svensson,F,33.0,176.0,68.0,Sweden,2000,Summer,Sydney,Australia
Jun Gao (-Chang),F,35.0,-5991906,73.0,United States,2004,Summer,Atgina,Greece
Abdek Wahed Ben Siamar Mimun,M,27.0,180.0,70.0,Morocco,1968,Summer,unknown,Mexico
Nathalie Nicole Viviane Marchino Urrutia,F,35.0,170.0,63.0,Colombia,2016,Summer,Rio de Janeiro,Australia
